Supported labels: *,10,12,13,14,15,16,17,18,1L,1M,20,21,22,24,25,26,2F,2P,30,33,36,39,3L,41,44,4A,4N,4T,52,58,5U,5Z,80,81,83,8E,A0,A3,A6,A9,AA,B0,B2,B6,B9,BA,C1,:;,H1,H2,HX,MA,QP,QQ,QR,QS,SA,SQ
[r1 offset=0] added=30 missing=87
[r2 offset=100] added=9 missing=87
[r3 offset=200] added=10 missing=87
[r4 offset=300] added=18 missing=87
[r5 offset=400] added=7 missing=87
[r6 offset=500] added=7 missing=87
[r7 offset=600] added=15 missing=87
[r8 offset=700] added=5 missing=87
[r9 offset=800] added=16 missing=87
[r10 offset=900] added=10 missing=87
[r11 offset=1000] added=19 missing=87
[r12 offset=1100] added=16 missing=87
[r13 offset=1200] added=12 missing=87
[r14 offset=1300] added=9 missing=87
[r15 offset=1400] added=4 missing=87
[r16 offset=1500] added=8 missing=87
[r17 offset=1600] added=17 missing=87
[r18 offset=1700] added=5 missing=87
[r19 offset=1800] added=1 missing=87
[r20 offset=1900] added=3 missing=87
[r21 offset=2000] added=2 missing=86
[r22 offset=2100] added=0 missing=86
[r23 offset=2200] added=0 missing=86
[r24 offset=2300] added=0 missing=86
[r25 offset=2400] added=1 missing=86
[r26 offset=2500] added=0 missing=86
[r27 offset=2600] added=1 missing=86
[r28 offset=2700] added=2 missing=86
[r29 offset=2800] added=0 missing=86
[r30 offset=2900] added=0 missing=86
[r31 offset=3000] added=0 missing=86
[r32 offset=3100] added=2 missing=86
[r33 offset=3200] added=0 missing=86
[r34 offset=3300] added=0 missing=86
[r35 offset=3400] added=0 missing=86
[r36 offset=3500] added=0 missing=86
[r37 offset=3600] added=0 missing=86
[r38 offset=3700] added=0 missing=86
[r39 offset=3800] added=0 missing=86
[r40 offset=3900] added=0 missing=86
[r41 offset=4000] added=1 missing=86
[r42 offset=4100] added=0 missing=86
[r43 offset=4200] added=1 missing=86
[r44 offset=4300] added=0 missing=86
[r45 offset=4400] added=0 missing=86
[r46 offset=4500] added=1 missing=86
[r47 offset=4600] added=1 missing=86
[r48 offset=4700] added=1 missing=86
[r49 offset=4800] added=0 missing=86
[r50 offset=4900] added=0 missing=86
[r51 offset=5000] added=1 missing=86
[r52 offset=5100] added=1 missing=86
[r53 offset=5200] added=1 missing=86
[r54 offset=5300] added=1 missing=86
[r55 offset=5400] added=0 missing=86
[r56 offset=5500] added=0 missing=86
[r57 offset=5600] added=3 missing=86
[r58 offset=5700] added=0 missing=86
[r59 offset=5800] added=1 missing=86
[r60 offset=5900] added=2 missing=86
[r61 offset=6000] added=2 missing=86
[r62 offset=6100] added=0 missing=86
[r63 offset=6200] added=0 missing=86
[r64 offset=6300] added=0 missing=86
[r65 offset=6400] added=1 missing=86
[r66 offset=6500] added=2 missing=86
[r67 offset=6600] added=1 missing=86
[r68 offset=6700] added=0 missing=86
[r69 offset=6800] added=3 missing=86
[r70 offset=6900] added=0 missing=86
[r71 offset=7000] added=3 missing=86
[r72 offset=7100] added=0 missing=86
[r73 offset=7200] added=0 missing=86
[r74 offset=7300] added=0 missing=86
[r75 offset=7400] added=1 missing=86
[r76 offset=7500] added=0 missing=86
[r77 offset=7600] added=1 missing=86
[r78 offset=7700] added=0 missing=86
[r79 offset=7800] added=2 missing=86
[r80 offset=7900] added=0 missing=86
[r81 offset=8000] added=0 missing=86
[r82 offset=8100] added=0 missing=86
[r83 offset=8200] added=1 missing=86
[r84 offset=8300] added=0 missing=86
[r85 offset=8400] added=0 missing=86
[r86 offset=8500] added=0 missing=86
[r87 offset=8600] added=3 missing=86
[r88 offset=8700] added=0 missing=86
[r89 offset=8800] added=1 missing=86
[r90 offset=8900] added=0 missing=86
[r91 offset=9000] added=0 missing=86
[r92 offset=9100] added=1 missing=86
[r93 offset=9200] added=0 missing=86
[r94 offset=9300] added=3 missing=86
[r95 offset=9400] added=0 missing=86
[r96 offset=9500] added=0 missing=86
[r97 offset=9600] added=0 missing=86
[r98 offset=9700] added=2 missing=86
[r99 offset=9800] added=0 missing=86
[r100 offset=9900] added=0 missing=86
[r101 offset=10000] added=2 missing=86
[r102 offset=10100] added=0 missing=86
[r103 offset=10200] added=1 missing=86
[r104 offset=10300] added=0 missing=86
[r105 offset=10400] added=2 missing=86
[r106 offset=10500] added=0 missing=86
[r107 offset=10600] added=1 missing=86
[r108 offset=10700] added=0 missing=86
[r109 offset=10800] added=1 missing=86
[r110 offset=10900] added=4 missing=85
[r111 offset=11000] added=1 missing=85
[r112 offset=11100] added=3 missing=85
[r113 offset=11200] added=0 missing=85
[r114 offset=11300] added=0 missing=85
[r115 offset=11400] added=0 missing=85
[r116 offset=11500] added=0 missing=85
[r117 offset=11600] added=0 missing=85
[r118 offset=11700] added=1 missing=85
[r119 offset=11800] added=0 missing=85
[r120 offset=11900] added=0 missing=85
NEW_LABEL 2W
[r121 offset=12000] added=5 missing=86
[r122 offset=12100] added=7 missing=86
[r123 offset=12200] added=3 missing=86
[r124 offset=12300] added=2 missing=86
